No,Question,Answer1,AnswerCorrect1,Answer2,AnswerCorrect2,Answer3,AnswerCorrect3,Answer4,AnswerCorrect4,Answer5,AnswerCorrect5,Answer6,AnswerCorrect6,Answer7,AnswerCorrect7,Answer8,AnswerCorrect8,Answer9,AnswerCorrect9,Answer10,AnswerCorrect10,Hint,Explanation,Category
1,"TensorF low Operations and Computation Graph are not run in the Session",True,,False,
2,"What are the categories of artificial intelligence?",Action,,Perception,,Cognition,,None of the above,
3,"Traffic agent can a chieve ______ hour full time/global traffic awareness?",7X24,,5X24,,5X12,,7X12,
4,"The pe rceptron can be displayed in space as __________.",line,,flat,,hyperplane,,point,
5,"In Random Forest algorithm, what st rategy is used to determine the outcome of  the""ensemble model?",Cumulative system,,Find the average,,Voting system,,Find the max,
6,"What are the scenarios or ind ustries for which Python is suit able?",Artificial Intelligence,,Web development,,Game development,,Hardware Development,
7,"In a Convolutional Neura l Network, different layers have different functions. Which of the""following layers can play the role of dimens ionality reduction?",Input Layer,,Fully Connected Layer,,Convolutional Layer,,Pooling Layer,
8," Vector is a number.",True,,False,

9,"Which of the following  tensor creation method is not supported in TensorFlow2.0?",zeros,,fill,,create,,constant,
10,"What is AI stands for?",Automatic Intelligence,,Artificial Intelli gence,,Automatic Information,,Artificial Information,
11,"Wh ich of the following are TensorF low  application scenarios?",Speech Recognition,,Face Recog nition,,Image Style Changes,,Autopilot,
12,"In neural networks, which of the following methods is used to update the parameters when""training the network to minimize the loss function?",Forward propagation algorithm,,Pooling calculation,,Convolution calculation,,Backpropagation algorithm,

13,"On the premise of ensuring data privacy and security, federated learning utilizes""different data sources to cooperatively train models to improve breakthroughs in data""bott lenecks.",TRUE,,FALSE,
14,"What are the implementation modes of TensorF low? (Multiple Choice)",Stand -alone mode,,Distributed mode,, Reverse mode,,Forward mode,
15,"By the end of the year 2019, the released TensorFlow versions are?",1,,3,,2,,0.1,
16,"In TensorFlow  2.0, the way to view tensor dimensions is?",dimens,,dtype,,ndim,,device,
17,"Which module of HUAWEI HiAI is supported by Huawei’s chip?",HiAI Engine,,HiAI Foundation,,HiAI Framework,,HiAI Service,
18,"All of the existing versions of PyTorch  support Python 2 and Python 3.",True,,False,
19,"It is known that the total parameter of a certain layer of the fully connected neural network""is 330 . The number of neurons in the previous layer and this layer may  be?",32 with 10,,10 with 33,,33 with 10,,9 with 33,
20,"What model is not a cyclic neural network?",RNN,,LSTM,,GBOT,,GRU,
21,"The current technology application directions of artificial intelligence mainly include",Natural language processing,,Control System,,Computer vision,,Speech Recognition,
22,"Which of the following are the characteristics of TensorFlow? (Multiple choice)",Open source,,Convenience,,Mature,,Flexible,
